city,lat,lng,max_temp,humidity,wind_speed,cloudiness,date,country
Paamiut,61.99,-49.67,41.54000000000002,85,3.41,100,1602967162,GL
Rikitea,-23.12,-134.97,74.22800000000007,79,9.54,100,1602967162,PF
Tiksi,71.69,128.87,18.95,97,5.07,100,1602967163,RU
Vaini,-21.2,-175.2,77.0,94,5.1,75,1602967163,TO
Punta Arenas,-53.15,-70.92,44.6,93,6.7,100,1602967163,CL
Carnarvon,-24.87,113.63,68.0,77,4.6,2,1602967164,AU
Jamestown,-15.94,-5.72,60.71000000000008,98,7.79,98,1602967164,SH
Bonthe,7.53,-12.51,79.10600000000002,87,2.82,15,1602967164,SL
Chokurdakh,70.63,147.92,23.720000000000063,98,1.55,100,1602967165,RU
Mutoko,-17.4,32.23,65.19200000000001,50,2.11,0,1602967165,ZW
Cherskiy,68.75,161.3,20.48000000000004,95,5.04,88,1602967165,RU
Albany,-35.02,117.89,46.4,93,2.6,2,1602967166,AU
Itabira,-19.62,-43.23,63.03200000000002,95,1.15,100,1602967167,BR
Samoded,63.61,40.51,37.832000000000015,96,4.08,100,1602967167,RU
Karratha,-20.74,116.85,63.42800000000007,89,4.75,10,1602966935,AU
Saint-Philippe,-21.36,55.77,69.99800000000002,73,2.1,25,1602967003,RE
Hasaki,35.73,140.83,51.998000000000026,100,3.1,75,1602967148,JP
Seoul,37.57,126.98,42.8,93,0.41,1,1602967168,KR
Loreto,22.27,-101.97,74.858,26,1.8,0,1602967168,MX
Bredasdorp,-34.53,20.04,59.0,87,2.1,69,1602967168,ZA
Barrow,71.29,-156.79,17.6,72,5.1,1,1602967073,US
Provideniya,64.38,-173.3,37.88600000000007,91,0.65,62,1602967169,RU
Mahébourg,-20.41,57.7,73.4,73,2.6,40,1602967169,MU
Talnakh,69.49,88.4,24.8,85,10.0,100,1602967169,RU
Wahiawā,21.5,-158.02,82.4,78,0.85,20,1602967169,US
Kochevo,59.6,54.31,29.82200000000004,98,3.4,47,1602967169,RU
Thompson,55.74,-97.86,32.0,94,2.6,75,1602967170,CA
Shache,38.42,77.24,41.360000000000085,66,0.76,0,1602967170,CN
Khatanga,71.97,102.5,3.362000000000055,91,3.75,26,1602967170,RU
Lüderitz,-26.65,15.16,68.52200000000005,41,7.75,0,1602967171,NA
Smithers,54.78,-127.17,37.4,86,1.87,90,1602967171,CA
Puerto Ayora,-0.74,-90.35,80.6,57,6.7,40,1602967171,EC
Ancud,-41.87,-73.82,51.998000000000026,100,7.7,90,1602967171,CL
Kaitangata,-46.28,169.85,51.27800000000006,64,1.39,6,1602967172,NZ
Dandong,40.13,124.39,47.498000000000026,82,1.24,0,1602967172,CN
Merauke,-8.47,140.33,76.13600000000008,83,5.21,0,1602967172,ID
Fruitvale,49.12,-117.55,50.0,66,0.99,99,1602967172,CA
Baykit,61.67,96.37,36.338000000000044,89,1.68,100,1602967173,RU
Hobart,-42.88,147.33,42.998000000000026,93,3.6,20,1602967149,AU
Castro,-42.47,-73.77,51.998000000000026,100,7.7,90,1602967173,CL
Orodara,10.95,-4.93,73.4,88,2.6,20,1602967173,BF
Quatre Cocos,-20.21,57.76,73.4,73,2.6,40,1602967174,MU
Khāga,25.78,81.12,77.73800000000006,49,1.56,0,1602967174,IN
Rawson,-43.3,-65.1,72.32000000000006,22,8.55,40,1602967174,AR
Busselton,-33.65,115.33,51.998000000000026,62,4.99,0,1602967175,AU
Ushuaia,-54.8,-68.3,46.4,52,5.7,90,1602967175,AR
Cape Town,-33.93,18.42,60.998000000000026,82,4.1,20,1602967138,ZA
Berlevåg,70.86,29.09,30.2,86,3.1,20,1602967038,NO
Hermanus,-34.42,19.23,55.99400000000007,92,1.93,50,1602966982,ZA
Pisco,-13.7,-76.22,69.80000000000001,68,5.1,20,1602967176,PE
Altay,47.87,88.12,38.94800000000002,57,3.0,1,1602967176,CN
Port Hardy,50.7,-127.42,51.8,81,1.5,90,1602966903,CA
Bluff,-46.6,168.33,48.00200000000008,82,1.34,88,1602967177,NZ
Kapaa,22.08,-159.32,75.2,100,2.1,75,1602967177,US
Oussouye,12.48,-16.55,84.2,89,1.0,75,1602967177,SN
Shimoda,34.67,138.95,51.00800000000001,94,0.45,100,1602967178,JP
Qaanaaq,77.48,-69.36,35.096000000000046,83,3.55,100,1602967178,GL
Iglino,54.83,56.41,32.0,88,3.0,10,1602967178,RU
Ulaangom,49.98,92.07,31.910000000000082,95,1.16,79,1602967178,MN
Tuktoyaktuk,69.45,-133.04,19.4,79,2.6,5,1602966903,CA
Vilhena,-12.74,-60.15,80.97800000000007,57,1.58,93,1602967179,BR
Matara,5.95,80.54,77.70200000000008,84,4.93,90,1602967179,LK
New Norfolk,-42.78,147.06,42.008,84,1.12,45,1602967179,AU
Fortuna,40.6,-124.16,71.00600000000003,60,4.6,20,1602967179,US
Hilo,19.73,-155.09,87.80000000000001,48,4.6,1,1602967180,US
Chilca,-12.52,-76.74,68.0,68,5.1,75,1602967180,PE
Aklavik,68.22,-135.01,15.8,85,2.1,5,1602967180,CA
Bambous Virieux,-20.34,57.76,73.4,73,2.6,40,1602966929,MU
Saint-Louis,-21.27,55.42,69.99800000000002,73,2.1,7,1602967181,RE
Sulejówek,52.25,21.27,46.99400000000007,92,2.45,100,1602967181,PL
Divnomorskoye,44.5,38.14,66.68600000000006,59,2.87,44,1602967181,RU
Los Llanos de Aridane,28.66,-17.92,71.6,73,2.1,75,1602967181,ES
Avarua,-21.21,-159.78,77.0,69,7.2,84,1602967181,CK
Yerbogachën,61.28,108.01,25.55600000000003,98,2.23,100,1602967182,RU
Bethel,41.37,-73.41,57.2,33,3.6,1,1602967176,US
Naze,28.37,129.48,73.4,94,3.1,90,1602966913,JP
Maceió,-9.67,-35.74,78.80000000000001,74,5.7,40,1602967182,BR
Ixtapa,20.7,-105.2,89.6,62,4.6,5,1602967181,MX
Polunochnoye,60.87,60.42,28.741999999999997,94,3.28,0,1602967183,RU
Atuona,-9.8,-139.03,78.584,70,7.41,0,1602966899,PF
Flinders,-34.58,150.86,64.00400000000005,79,0.89,100,1602967179,AU
Longyearbyen,78.22,15.64,19.4,79,2.1,20,1602967184,SJ
Kavieng,-2.57,150.8,82.58000000000004,72,2.46,100,1602966972,PG
Faanui,-16.48,-151.75,79.07000000000006,79,3.08,24,1602967184,PF
Kologriv,58.83,44.32,35.15,85,2.61,100,1602967185,RU
Geraldton,-28.77,114.6,62.6,72,4.6,5,1602967185,AU
Toumodi,6.56,-5.02,78.80000000000001,94,1.98,40,1602967185,CI
Ostrov,57.34,28.35,37.4,74,2.0,83,1602967186,RU
Esim,4.87,-2.24,77.39600000000004,89,3.92,86,1602967186,GH
Mörön,47.38,110.32,31.604000000000052,91,2.69,1,1602967187,MN
Oliveira dos Brejinhos,-12.32,-42.9,86.32400000000001,34,3.81,61,1602967187,BR
Severo-Kuril'sk,50.68,156.12,43.610000000000085,69,6.12,58,1602967187,RU
Vila Velha,-20.33,-40.29,73.4,73,3.6,90,1602966934,BR
Yellowknife,62.46,-114.35,26.6,73,7.2,90,1602967188,CA
Linxia Chengguanzhen,35.6,103.21,41.522000000000034,67,0.85,78,1602967188,CN
Bosaso,11.28,49.18,81.46400000000003,42,2.83,0,1602967188,SO
Vardø,70.37,31.11,26.6,86,5.7,40,1602967188,NO
Casa Blanca,18.15,-97.13,81.30200000000008,37,2.96,86,1602967189,MX
Lebu,-37.62,-73.65,54.41000000000008,83,3.13,74,1602967189,CL
Pendleton,45.67,-118.79,66.00200000000008,39,9.8,1,1602967189,US
Mossamedes,-15.2,12.15,70.37600000000009,70,2.63,19,1602967190,AO
Butaritari,3.07,172.79,82.07600000000009,80,8.25,3,1602967190,KI
Lompoc,34.64,-120.46,84.2,30,5.1,1,1602967190,US
Rosarito,32.33,-117.03,93.99199999999999,42,5.1,5,1602967190,MX
Katangli,51.71,143.23,37.45400000000005,83,5.01,73,1602967190,RU
Dikson,73.51,80.55,15.116000000000007,93,9.84,2,1602967191,RU
Tiarei,-17.53,-149.33,82.4,74,6.2,75,1602967191,PF
Teya,60.38,92.63,40.11800000000009,89,3.25,100,1602967192,RU
Mortka,59.33,66.02,28.49000000000002,94,5.82,41,1602967192,RU
Manutuke,-38.68,177.92,57.00200000000008,66,0.89,0,1602967192,NZ
Kasongo-Lunda,-6.47,16.82,72.26600000000002,86,0.68,13,1602967192,CD
Hualmay,-11.1,-77.61,68.108,68,4.44,8,1602967193,PE
Iqaluit,63.75,-68.51,33.8,80,3.1,75,1602967193,CA
Halden,59.12,11.39,42.998000000000026,75,4.1,24,1602967193,NO
Nikolskoye,59.7,30.79,39.00200000000008,74,3.0,75,1602967194,RU
Chāndbāli,20.78,86.77,79.44800000000004,84,2.21,100,1602967194,IN
Cho Dok,10.7,105.12,77.48600000000008,87,4.23,100,1602967078,VN
Port Alfred,-33.59,26.89,64.94000000000003,85,5.01,91,1602967194,ZA
Kalmunai,7.42,81.82,79.16000000000008,74,1.79,100,1602967195,LK
Saskylakh,71.92,114.08,13.622000000000035,96,2.71,100,1602967195,RU
Crotone,39.09,17.12,57.2,87,1.5,20,1602967195,IT
Kruisfontein,-34.0,24.73,60.998000000000026,89,2.68,98,1602967196,ZA
Sitka,57.05,-135.33,42.8,56,2.6,75,1602967152,US
Beringovskiy,63.05,179.32,36.662000000000056,77,1.53,94,1602967196,RU
Norman Wells,65.28,-126.83,19.4,73,3.1,5,1602966974,CA
Esperance,-33.87,121.9,44.6,100,3.1,0,1602967197,AU
Arica,-18.48,-70.3,68.0,63,6.2,12,1602967197,CL
Clyde River,70.47,-68.59,37.4,81,7.7,20,1602967197,CA
Ribeira Grande,38.52,-28.7,62.6,67,2.6,40,1602967198,PT
Sydney,-33.87,151.21,64.99400000000009,93,0.5,75,1602967032,AU
Trairi,-3.28,-39.27,79.64600000000004,76,5.57,82,1602967198,BR
Edéia,-17.34,-49.93,84.57800000000006,51,1.75,17,1602967198,BR
Georgetown,-7.93,-14.42,74.01200000000006,76,6.54,93,1602967199,SH
Dwārka,22.24,68.97,83.76800000000009,78,6.81,100,1602967199,IN
Caravelas,-17.71,-39.25,73.76000000000008,78,4.59,86,1602967199,BR
Mar del Plata,-38.0,-57.56,68.0,77,4.1,27,1602967030,AR
Hithadhoo,-0.6,73.08,82.97600000000008,77,8.7,48,1602967200,MV
Pevek,69.7,170.31,28.13000000000004,97,7.44,95,1602967200,RU
Saint Paul Harbor,57.79,-152.41,46.4,65,4.1,90,1602967200,US
Lavrentiya,65.58,-171.0,38.21000000000008,90,1.43,59,1602967201,RU
Tasiilaq,65.61,-37.64,35.6,74,10.8,45,1602967201,GL
Sovetskoye,52.29,85.41,45.68000000000004,60,2.75,100,1602967201,RU
Inta,66.03,60.17,28.04000000000002,98,5.06,100,1602967201,RU
Pallisa,1.15,33.71,65.93000000000004,91,2.35,94,1602967202,UG
Vostok,46.49,135.88,32.918000000000085,98,3.28,45,1602967202,RU
East London,-33.02,27.91,68.108,66,3.36,79,1602967202,ZA
Dudinka,69.41,86.18,24.8,85,10.0,99,1602967203,RU
Durban,-29.86,31.03,71.99600000000005,88,4.1,20,1602967203,ZA
Riohacha,11.54,-72.91,87.49400000000009,71,4.23,95,1602967203,CO
Souillac,-20.52,57.52,73.4,73,2.6,40,1602967203,MU
Evensk,61.95,159.23,34.50200000000008,86,4.34,97,1602967203,RU
Arraial do Cabo,-22.97,-42.03,75.2,60,3.1,40,1602967204,BR
Manokwari,-0.87,134.08,79.66400000000004,76,1.88,100,1602967204,ID
Ishigaki,24.34,124.16,78.49400000000009,80,9.81,12,1602967205,JP
Saint George,32.38,-64.68,80.6,69,4.1,75,1602967205,BM
Cidreira,-30.18,-50.21,67.424,78,8.66,61,1602967205,BR
Praya,-8.71,116.27,73.4,94,2.77,20,1602967206,ID
Meulaboh,4.14,96.13,75.83000000000004,82,1.33,100,1602967206,ID
Mgandu,-5.95,34.13,63.5,61,3.62,6,1602967206,TZ
Guerrero Negro,27.98,-114.06,85.424,41,4.92,98,1602967206,MX
Carmen,9.87,-83.92,77.0,65,6.2,75,1602967206,CR
Olivenza,38.68,-7.1,57.992,50,0.62,67,1602967207,ES
Pinawa,50.15,-95.88,35.79800000000002,73,4.1,80,1602967207,CA
Dubbo,-32.25,148.62,59.0,100,1.0,90,1602967103,AU
Standerton,-26.93,29.24,66.99199999999999,66,0.45,30,1602967208,ZA
Bengkulu,-3.8,102.27,76.5680000000001,84,1.77,100,1602967048,ID
Nome,64.5,-165.41,37.4,86,10.3,90,1602967208,US
Lazarev,52.23,141.51,40.352000000000075,73,7.81,80,1602967208,RU
Bartica,6.4,-58.62,89.6,55,2.1,40,1602967208,GY
Aksu,41.12,80.26,51.71000000000008,40,2.3,97,1602967209,CN
Upernavik,72.79,-56.15,36.14000000000002,91,14.79,100,1602967209,GL
Genhe,50.78,121.52,21.541999999999994,84,1.56,1,1602967209,CN
Viedma,-40.81,-63.0,91.99400000000009,17,0.89,29,1602967210,AR
Grand Gaube,-20.01,57.66,71.99600000000005,78,2.68,30,1602967210,MU
Labuhan,-6.88,112.21,78.0260000000001,78,3.91,85,1602967210,ID
Elko,41.0,-115.5,71.99600000000005,17,8.05,31,1602967210,US
Korla,41.76,86.15,45.68000000000004,51,0.48,0,1602967211,CN
Port Elizabeth,-33.92,25.57,60.8,93,6.2,89,1602967211,ZA
Antofagasta,-23.65,-70.4,62.6,72,7.2,90,1602967211,CL
Vila Franca do Campo,37.72,-25.43,62.6,82,5.7,20,1602967212,PT
Weiser,44.25,-116.97,73.4,27,3.22,1,1602967212,US
Talara,-4.58,-81.27,66.68600000000006,80,5.61,31,1602967212,PE
Pimienta,15.28,-87.97,80.99600000000005,88,4.1,75,1602967213,HN
Bowen,-20.02,148.23,62.6,88,4.3,0,1602967213,AU
Nam Som,17.77,102.19,70.19600000000005,92,1.18,100,1602967213,TH
Nha Trang,12.25,109.18,82.4,83,4.1,75,1602967214,VN
Halifax,44.65,-63.57,64.00400000000005,100,5.36,100,1602966818,CA
Kharp,66.8,65.81,24.116000000000007,94,3.13,100,1602967215,RU
Salalah,17.02,54.09,77.0,57,1.5,0,1602967215,OM
Ostrovnoy,68.05,39.51,30.90200000000008,91,0.68,3,1602967215,RU
Mudgee,-32.59,149.59,59.0,93,3.1,90,1602967215,AU
Xining,36.62,101.77,35.52800000000006,67,0.42,87,1602967216,CN
Qaqortoq,60.72,-46.03,39.2,80,0.5,7,1602967216,GL
Nanortalik,60.14,-45.24,38.82200000000004,89,0.7,32,1602967216,GL
Abalak,15.45,6.28,93.72200000000004,12,3.54,0,1602967217,NE
Mizdah,31.45,12.98,61.268000000000086,71,5.39,86,1602967217,LY
São Miguel do Araguaia,-13.28,-50.16,92.40800000000002,29,1.28,75,1602967217,BR
Chui,-33.7,-53.46,68.07200000000003,74,5.12,98,1602967217,UY
Taoudenni,22.68,-3.98,87.00800000000001,19,3.47,0,1602967217,ML
Visakhapatnam,17.69,83.21,80.00600000000003,81,2.0,97,1602967218,IN
Tuatapere,-46.13,167.68,48.00200000000008,82,1.34,85,1602967218,NZ
Preobrazheniye,42.9,133.91,50.09000000000002,82,4.04,7,1602967218,RU
Ayorou,14.73,0.92,96.29600000000005,18,3.07,77,1602967218,NE
Poum,-20.23,164.02,72.53600000000007,77,4.28,19,1602967218,NC
Itaituba,-4.28,-55.98,80.63600000000008,74,1.16,98,1602967219,BR
Richards Bay,-28.78,32.04,71.09600000000006,81,6.83,1,1602967219,ZA
Grindavik,63.84,-22.43,44.6,100,3.6,75,1602967219,IS
Deputatsky,69.3,139.9,13.406000000000027,97,4.66,100,1602967219,RU
Muros,42.78,-9.06,57.00200000000008,89,0.45,100,1602967220,ES
Sausar,21.65,78.78,77.0,94,1.07,20,1602967220,IN
Hervey Bay,-25.3,152.85,68.0,93,1.0,40,1602967220,AU
Belozërskoye,55.82,65.58,33.76400000000003,87,5.76,0,1602967221,RU
Tochigi,36.38,139.73,57.992,93,1.5,90,1602967221,JP
Portland,-38.33,141.6,49.658,76,3.48,81,1602967222,AU
Bilibino,68.05,166.44,21.50600000000003,96,1.5,99,1602967222,RU
Nantucket,41.28,-70.1,57.2,47,5.7,1,1602967154,US
Hohhot,40.81,111.65,28.4,63,1.0,21,1602967222,CN
Bilma,18.69,12.92,83.858,16,0.64,0,1602967223,NE
Villamontes,-21.25,-63.5,93.66800000000009,31,1.56,100,1602967223,BO
Keti Bandar,24.14,67.45,85.91000000000008,64,2.65,86,1602967223,PK
